year,dep_rat
2025,0.322
2026,0.330
2027,0.338
2028,0.345
2029,0.351
2030,0.357
2031,0.361
2032,0.364
2033,0.367
2034,0.370
2035,0.374
2036,0.377
2037,0.379
2038,0.380
2039,0.380
2040,0.380
2041,0.380
2042,0.381
2043,0.381
2044,0.382
2045,0.384
2046,0.386
2047,0.388
2048,0.390
2049,0.392
2050,0.394
2051,0.396
2052,0.398
2053,0.400
2054,0.403
2055,0.407
2056,0.411
2057,0.414
2058,0.417
2059,0.419
2060,0.422
2061,0.424
2062,0.426
2063,0.428
2064,0.430
2065,0.433
2066,0.436
2067,0.438
2068,0.441
2069,0.443
2070,0.446
2071,0.449
2072,0.452
2073,0.456
2074,0.459
2075,0.460
2076,0.462
2077,0.463
2078,0.464
2079,0.465
2080,0.466
2081,0.467
2082,0.467
2083,0.467
2084,0.466
2085,0.465
2086,0.463
2087,0.461
2088,0.459
2089,0.457
2090,0.456
2091,0.455
2092,0.454
2093,0.453
2094,0.452
2095,0.452
2096,0.452
2097,0.452
2098,0.453
2099,0.453
2100,0.454
